"city","n_cases","date_reported","url"
"Alhambra",2,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Arcadia",2,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Baldwin Hills",1,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Beverly Hills",4,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Beverlywood",2,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Boyle Heights",5,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Brentwood",13,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Burbank",1,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Calabasas",1,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Carson",1,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Castaic",1,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Covina",1,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Crestview",1,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Culver City",3,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Diamond Bar",2,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Eagle Rock",1,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"East Los Angeles",1,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Echo Park",1,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Encino",6,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Gardena",1,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Glendale",4,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Granada Hills",4,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Hancock Park",2,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Hawthorne",1,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Hollywood Hills",2,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Hollywood",5,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Inglewood",2,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Koreatown",1,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"La Mirada",3,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Lawndale",1,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Lomita",5,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Lynwood",1,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Manhattan Beach",5,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Mar Vista",1,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Melrose",11,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Monterey Park",2,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"North Hollywood",3,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Northridge",1,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Pacific Palisades",5,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Palms",1,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Park LaBrea",3,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Playa Vista",1,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Reseda",1,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"San Dimas",1,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"San Pedro",1,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Santa Clarita",3,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Santa Monica Mountains",2,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Santa Monica",2,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Sherman Oaks",5,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"South El Monte",1,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"South Pasadena",1,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Stevenson Ranch",1,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Studio City",3,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Sylmar",1,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Tarzana",5,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Torrance",2,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Tujunga",1,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"University Park",1,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Valley Glen",1,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Van Nuys",1,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Venice",4,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Vermont Knolls",1,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
"Walnut",1,2020-03-19,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2273"
