"city","n_cases","date_reported","url"
"Alhambra",3,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"Altadena",3,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"Arcadia",2,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"Baldwin Hills",2,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"Beverly Hills",7,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"Beverlywood",5,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"Boyle Heights",5,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"Brentwood",18,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"Burbank",1,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"Calabasas",1,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"Carson",3,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"Castaic",1,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"Century City",4,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"Century PalmsCove",1,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"Cerritos",1,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"Covina",1,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"Crestview",4,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"Culver City",4,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"Del Rey",2,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"Diamond Bar",2,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"Downtown",1,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"Eagle Rock",1,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"East Los Angeles",1,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"Echo Park",1,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"El Segundo",2,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"Encino",10,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"Gardena",1,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"Glendale",5,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"Granada Hills",4,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"Hancock Park",4,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"Hawthorne",2,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"Hollywood",12,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"Hollywood Hills",2,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"Inglewood",2,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"Koreatown",1,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"La Canada Flintridge",1,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"La Mirada",3,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"La Verne",1,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"Lake Balboa",1,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"Lakewood",1,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"Lancaster",3,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"Lawndale",1,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
"Lomita",7,2020-03-21,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2275"
