"city","n_cases","date_reported","url"
"Agoura Hills",1,2020-03-23,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2279"
"Alhambra",4,2020-03-23,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2279"
"Altadena",5,2020-03-23,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2279"
"Arcadia",3,2020-03-23,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2279"
"Athens",1,2020-03-23,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2279"
"Baldwin Hills",3,2020-03-23,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2279"
"Bellflower",3,2020-03-23,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2279"
"Beverly Hills",12,2020-03-23,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2279"
"Beverlywood",7,2020-03-23,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2279"
"Boyle Heights",5,2020-03-23,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2279"
"Brentwood",27,2020-03-23,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2279"
"Burbank",2,2020-03-23,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2279"
"Calabasas",3,2020-03-23,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2279"
"Canoga Park",2,2020-03-23,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2279"
"Carson",6,2020-03-23,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2279"
"Castaic",1,2020-03-23,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2279"
"Century City",4,2020-03-23,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2279"
"Century PalmsCove",1,2020-03-23,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2279"
"Cerritos",2,2020-03-23,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2279"
"CloverdaleCochran",1,2020-03-23,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2279"
"Compton",1,2020-03-23,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2279"
"Covina",1,2020-03-23,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2279"
"Crestview",6,2020-03-23,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2279"
"Culver City",5,2020-03-23,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2279"
"Del Rey",2,2020-03-23,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2279"
"Diamond Bar",2,2020-03-23,"http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2279"
