"city","n_cases","date_reported","url"
"Agoura Hills",3,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Alhambra",5,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Altadena",5,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Arcadia",4,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Athens",1,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Baldwin Hills",3,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Bellflower",3,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Beverly Hills",12,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Beverlywood",7,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Boyle Heights",5,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Brentwood",31,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Burbank",2,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Calabasas",4,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Canoga Park",2,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Canyon Country",1,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Carson",8,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Castaic",2,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Century City",6,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Century PalmsCove",1,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Cerritos",2,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Claremont",1,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"CloverdaleCochran",2,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Compton",1,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Covina",3,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Crestview",7,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Culver City",7,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Del Rey",3,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Diamond Bar",2,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Downey",1,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Downtown",3,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Duarte",1,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Eagle Rock",2,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"East Hollywood",1,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"East Los Angeles",3,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Echo Park",2,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"El Segundo",2,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Encino",12,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Exposition Park",1,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Florence",1,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Gardena",1,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Glendale",10,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Glendora",1,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Granada Hills",5,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Hancock Park",7,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Harbor Gateway",1,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Harvard Heights",1,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Hawthorne",6,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Highland Park",1,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Hollywood",19,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Hollywood Hills",8,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Hyde Park",1,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Inglewood",5,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Koreatown",5,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"La Canada Flintridge",2,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"La Mirada",3,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"La Puente",1,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"La Verne",2,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Lake Balboa",2,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Lakewood",3,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Lancaster",8,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Lawndale",2,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Lincoln Heights",1,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Lomita",9,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Los Feliz",2,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Lynwood",2,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Manhattan Beach",11,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Mar Vista",6,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Melrose",26,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Miracle Mile",7,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Monterey Park",3,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Mt Washington",1,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"North Hollywood",10,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
"Northridge",2,2020-03-24,"http://publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2280"
